user_id,item_id,behavior_type,user_geohash,item_category,time
100029775,96582824,1,9t4qcc6,11279,2022-12-11 16
100068031,254127882,1,9rctokc,9618,2022-12-11 23
100068031,45395880,1,94deolk,10431,2022-12-11 18
100068031,331212270,1,94deook,9618,2022-12-11 13
100068031,144421765,1,94deooj,10431,2022-12-11 09
100068031,141287533,1,94deool,9752,2022-12-11 13
100068031,331368501,1,94deolu,10431,2022-12-11 09
100068031,36925766,4,94deoom,10431,2022-12-11 18
100068031,303580397,1,94deooa,10431,2022-12-11 19
100068031,303580397,1,94deol6,10431,2022-12-11 19
100068031,303580397,1,94deol6,10431,2022-12-11 18
100068031,219802482,1,94deod9,5263,2022-12-11 13
100068031,217620949,1,94deolm,10431,2022-12-11 09
100068031,332024681,1,94deoo5,10431,2022-12-11 18
100068031,35891330,1,94deod9,10431,2022-12-11 09
100068031,303580397,1,94deoo2,10431,2022-12-11 18
100068031,1391883,1,94deolh,10431,2022-12-11 18
100068031,361535221,1,94deoes,10431,2022-12-11 09
100068031,315643365,1,94deooc,9618,2022-12-11 09
100068031,333799695,1,94deol7,5263,2022-12-11 13
100068031,144421765,1,94deol5,10431,2022-12-11 09
100068031,115077614,1,94deook,10431,2022-12-11 19
100068031,298622907,1,,4245,2022-12-11 01
100068031,283187728,1,94deola,12158,2022-12-11 18
100068031,254127882,1,9rctok6,9618,2022-12-11 23
100068031,217620949,1,9rctol7,10431,2022-12-11 23
100068031,217620949,1,94deook,10431,2022-12-11 18
100068031,309397585,1,94deoo1,5263,2022-12-11 13
100068031,283187728,1,94deolh,12158,2022-12-11 18
100068031,222558510,1,94deol7,7955,2022-12-11 13
100068031,217620949,1,94deol3,10431,2022-12-11 09
100068031,225130052,1,,6794,2022-12-11 00
100068031,219802482,1,94deolb,5263,2022-12-11 13
100068031,193025176,1,94deol5,5263,2022-12-11 13
100068031,203452706,1,94deoll,12170,2022-12-11 18
100068031,315643365,1,94deolj,9618,2022-12-11 09
100068031,45395880,1,94deola,10431,2022-12-11 18
100068031,382450582,1,,10431,2022-12-11 00
100068031,217620949,1,9rctola,10431,2022-12-11 23
100068031,260830386,1,94deolq,5263,2022-12-11 13
